StateAbbr,2004+cardiovascular,2004+stroke,2004+obesity,2004+diabetes,2005+cardiovascular,2005+stroke,2005+obesity,2005+diabetes,2006+cardiovascular,2006+stroke,2006+obesity,2006+diabetes,2007+cardiovascular,2007+stroke,2007+obesity,2007+diabetes,2008+cardiovascular,2008+stroke,2008+obesity,2008+diabetes,2009+cardiovascular,2009+stroke,2009+obesity,2009+diabetes,2010+cardiovascular,2010+stroke,2010+obesity,2010+diabetes,2011+cardiovascular,2011+stroke,2011+obesity,2011+diabetes,2012+cardiovascular,2012+stroke,2012+obesity,2012+diabetes,2013+cardiovascular,2013+stroke,2013+obesity,2013+diabetes,2014+cardiovascular,2014+stroke,2014+obesity,2014+diabetes,2015+cardiovascular,2015+stroke,2015+obesity,2015+diabetes,2016+cardiovascular,2016+stroke,2016+obesity,2016+diabetes,2017+cardiovascular,2017+stroke,2017+obesity,2017+diabetes
IL,10,20,31,42,17,49,29,18,22,27,34,43,18,64,40,47,9,75,29,44,14,53,32,70,56,42,30,45,33,56,34,61,31,64,58,67,36,63,54,72,40,54,41,78,46,60,52,68,38,58,46,78,28,63,37,73
MN,18,26,40,58,46,68,32,31,53,38,41,55,100,75,51,65,41,88,34,64,51,76,75,80,98,59,44,49,100,87,61,100,100,93,100,91,100,90,91,98,85,66,66,73,98,66,100,95,100,74,87,99,70,88,100,100
LA,9,22,33,40,15,30,13,20,28,27,27,39,29,49,34,48,20,46,22,41,16,47,32,59,42,44,27,40,50,61,37,79,41,61,48,64,43,74,51,73,50,63,51,71,63,62,62,83,59,68,44,85,48,77,38,84
MN,7,15,31,36,15,46,21,22,23,23,26,38,38,50,31,55,25,57,26,46,25,51,37,62,46,41,30,40,35,58,32,62,34,59,46,57,31,65,48,63,41,57,39,68,48,55,56,69,46,64,51,77,37,68,53,75
MO,6,16,27,36,18,51,19,23,19,25,23,39,30,56,29,56,24,58,23,44,27,62,36,63,54,45,28,43,51,58,31,63,42,59,46,61,35,62,43,69,47,60,46,73,54,54,55,75,52,61,49,83,44,66,50,79
WI,7,17,27,39,17,44,17,23,21,24,24,39,36,58,28,53,26,64,23,43,29,58,36,63,53,44,31,40,37,58,31,64,38,63,45,61,36,64,54,66,42,59,43,70,47,58,55,71,46,58,51,74,38,64,56,74
TX,8,16,24,37,17,45,16,21,23,23,19,38,36,48,24,53,24,54,18,43,23,49,31,60,53,41,24,42,35,52,27,60,34,50,37,55,34,57,41,62,41,53,38,67,40,47,40,67,44,52,41,75,35,59,44,74
MO,6,16,43,34,15,39,22,20,18,23,29,38,34,59,38,53,16,60,33,44,19,52,43,55,37,47,34,38,36,61,33,69,35,66,48,65,36,74,53,64,45,71,48,74,42,61,58,74,42,72,55,76,29,79,45,77
LA,8,14,27,35,23,43,17,20,22,25,18,36,42,60,28,56,33,71,23,46,26,55,38,59,57,45,29,39,57,62,41,66,41,64,38,57,36,70,40,62,40,64,33,63,49,59,50,69,50,66,55,75,46,72,50,73
TX,7,16,22,35,15,41,13,21,20,22,19,39,27,45,21,49,19,52,18,39,20,48,31,57,33,33,19,32,26,49,21,55,27,50,32,51,27,54,34,57,36,48,32,64,39,47,38,65,41,53,37,71,35,55,39,69
